id,Author,Text,User Location,Country_Code,Tweet Country,created_at
1374321150084403201,mimmel99,"RT @mikemarzaABC7: AstraZeneca, Pfizer, Moderna, J&amp;J: Differences between COVID-19 vaccines' efficacy and side effects | https://t.co/K7ojy…","Patchogue, NY Jensen Beach FL",None,None,2021-03-23 11:24:30
1374321154735943681,Kuehbacher,RT @Roche: Antigen tests are an important tool to help manage the COVID-19 pandemic. Samples for an antigen test can be collected with so-c…,"Wendlingen am Neckar, Deutschland",None,None,2021-03-23 11:24:31
1374321157646778369,deeesmoove,"RT @BourgeoisWells: COVID-19 related death after January 20, 2020. Please keep funeral documentation. COVID-19 Funeral Assistance https://t…","Brooklyn, NY",None,None,2021-03-23 11:24:32
1374321157671944193,tanmoyray01,"Covishield vs Covaxin vs Moderna/Pfizer – Science Behind COVID-19 Vaccines

#vaccines #medicalsciences #covid… https://t.co/YAuBQB0yQ8",India,None,None,2021-03-23 11:24:32
1374321158921785345,yungblkauteur,"RT @BourgeoisWells: FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",brooklyn | she/they,None,None,2021-03-23 11:24:32
1374321159072780289,hazelglasgow,"RT @NHSGGC: If you are aged 16 or over and provide vital face-to-face care for someone you may be eligible for the COVID-19 vaccine now.

C…",Scotland,None,None,2021-03-23 11:24:32
1374321159613902849,NEQueensNY,"RT @queenspost: New Yorkers 50 and Older Can Get the COVID-19 Vaccine Starting Tuesday
https://t.co/8r1RYvtA0x #Queens",,None,None,2021-03-23 11:24:32
1374321160926691332,StaunchInsafian,"This is in Kuala Lumpur, Malaysia. A nurse is making the wait more bearable for people waiting their turn for COVID… https://t.co/zOkx2GoYgj",Naya Pakistan,None,None,2021-03-23 11:24:33
1374321163367817218,iamdrblue1,🕊⚘⭐🌱💐🕊⚘🌱💐🕊⭐🌱💐🕊⭐🌱🌱💐Live long PAK US RELATIONSHIP🕊⚘⭐🌱💐🕊⚘🌱🌱💐🕊⭐🌱🌱💐🕊⚘🌱🌱💐🕊⭐🌱🌱💐,,PK,Pakistan,2021-03-23 11:24:33
1374321164344913923,pngfacts,"Australian medical team, Covid-19 vaccines arrive in PNG: Australian Medical Team, Covid-19 Vaccines Arrive In PNG.… https://t.co/zsVwOwuXtl",Port Moresby,None,None,2021-03-23 11:24:33
1374321164844105728,NewsFromBW,"Global COVID-19 Vaccine Market Outlook and Forecast Report 2021-2024 Featuring Major Manufacturers - Novavax, Chine… https://t.co/FpKn7YtwrA",,None,None,2021-03-23 11:24:34
1374321168493125642,PinkyAmador,RT @mariaressa: What you need to know about Duterte's COVID-19 loans https://t.co/SbqxvzkNFs,Manila/London,None,None,2021-03-23 11:24:34
1374321168845565954,FreeKeisuke,RT @nayadontgiveaf: The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,,None,None,2021-03-23 11:24:34
1374321168920977418,symone_jj,"RT @BourgeoisWells: FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 11:24:34
1374321169172623366,iam___irfan1,"RT @BSYBJP: Starting April 01st, anyone above 45 years can get the Covid-19 vaccine. I appeal to all eligible citizens to get vaccinated an…",,None,None,2021-03-23 11:24:35
1374321170196140038,Pristinenetwor1,"Nigerian Scientists Have Just Produced COVID-19 Vaccines 
https://t.co/Sn9jwTLjfW https://t.co/KjvqdGP7BR",,None,None,2021-03-23 11:24:35
1374321172251176961,gelalonzo_,"RT @nad0227: News: duque blames improper wearing of face masks, face shields for Covid-19 surge.

In other news: https://t.co/K1dj8Z7q8x","Makati City, National Capital ",None,None,2021-03-23 11:24:35
1374321174897901577,fredshively,RT @HackedOffHugh: Always heartwarming to watch this government exploit a pandemic to enrich their friends and donors.,"Orgiva, Spain",None,None,2021-03-23 11:24:36
1374321179322900483,ISUOG,New #UOGJournal article on the benefits and potential harms of COVID-19 vaccination during pregnancy: evidence summ… https://t.co/kluwQpCEMe,"London, W10 6TR",None,None,2021-03-23 11:24:37
1374321181214539782,AnneMarieDuguid,COVID-19 and Educational Change with @HargreavesBC  @pasi_sahlberg Pak Tee chaired by the brilliant @debrakidd,London,None,None,2021-03-23 11:24:37
1374321184561451015,avaneesh25,"RT @BSYBJP: Starting April 01st, anyone above 45 years can get the Covid-19 vaccine. I appeal to all eligible citizens to get vaccinated an…","Rewa, India",None,None,2021-03-23 11:24:38
1374321186809724928,crosshairsonyou,"RT @SikhForTruth: 11.

New software updates are coming, already planned.

https://t.co/UAMfExgCrR",killedbydrone,None,None,2021-03-23 11:24:39
1374321186931417091,ErinSpaceMusuem,"RT @detroitnews: Michigan has the second-highest number of cases of the COVID-19 B.1.1.7 variant in the U.S., leading some public health ex…","Michigan, USA",None,None,2021-03-23 11:24:39
1374321187745103872,FurtherRussia,"Russia documents 9,284 cases of COVID-19 in past 24 hours https://t.co/pb22pQbWdY",London,None,None,2021-03-23 11:24:39
1374321188189704195,har02091631,"RT @zoeharcombe: Even with a Newport postcode (😉) I've got a 1 in 26,316 chance of having a Covid-19 associated death.
I've got a 1 in 240…","South West, England",None,None,2021-03-23 11:24:39
1374321188751704070,FurtherRussia,China documents five imported COVID-19 cases in 24 hours https://t.co/uT9etjvlfT,London,None,None,2021-03-23 11:24:39
1374321189200433158,CRH241,"RT @Dutertenomics: “India reported its most COVID-19 cases and deaths in months on Monday, on the first anniversary of the start of a chaot…","Tagaytay, Calabarzon",None,None,2021-03-23 11:24:39
1374321192778268672,resetethics1,RT @TheForumAH: Today Marks a year since #lockdown Take a look back at our #classofcovid19 film to see the impact Covid-19 has had on us.Th…,"Liverpool, England",None,None,2021-03-23 11:24:40
1374321193822617600,Jamal_Barry,RT @HackedOffHugh: Always heartwarming to watch this government exploit a pandemic to enrich their friends and donors.,European Union ,None,None,2021-03-23 11:24:40
1374321193927512065,CarmenShier,"RT @CarmenShier: AstraZeneca says U.S. trial data shows 79% efficacy against symptomatic COVID-19
https://t.co/5vcvdCvMRO https://t.co/mgqS…",,None,None,2021-03-23 11:24:40
1374321194434969601,Mlg432M,RT @ScottAdamsSays: How will the people who say COVID-19 is not a real problem explain that the vaccinations are working?,"New Jersey, USA",None,None,2021-03-23 11:24:41
1374321194669903880,Katy_Patriot,RT @ABecenti: Navajo Nation has reported 0 new COVID-19 cases for the first time in six months!!!!!,"Katy, TX",None,None,2021-03-23 11:24:41
1374321196397907972,PissedOffGenius,RT @DenverChannel: U.S. federal health officials say results from a U.S. trial of AstraZeneca’s COVID-19 vaccine may have used “outdated in…,,None,None,2021-03-23 11:24:41
1374321200747442177,mchivien,"Gee, many seniors didn't get the shot because they can't get to the mass vaccination site or could use the tech to… https://t.co/6q2JdjHpkm","Ottawa, Ontario",None,None,2021-03-23 11:24:42
1374321201363947522,afrose_e,RT @FlaShBloGLive: #BiggBoss13 #ShehnaazGill #KartikAaryan #Covid19 #Canada Shehnaaz Gill wishes her crush Kartik Aaryan a speedy recovery…,"Newcastle Upon Tyne, England",None,None,2021-03-23 11:24:42
1374321201724674049,carrotflowerbby,"RT @BourgeoisWells: FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 11:24:42
1374321202114789382,Cyborg_Kit,RT @nayadontgiveaf: The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,In your mom,None,None,2021-03-23 11:24:42
1374321203465359364,ClochHA,"RT @inverclyde: Regardless of your circumstances, if you need help due to Covid-19 for heating, food, children's clothes or shoes, prescrip…","Greenock, Scotland",None,None,2021-03-23 11:24:43
1374321203788275726,spicybeccaa,RT @nayadontgiveaf: The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,ireland  ♎︎  19  she/her,None,None,2021-03-23 11:24:43
1374321204077727748,SituatedComa,RT @HackedOffHugh: Always heartwarming to watch this government exploit a pandemic to enrich their friends and donors.,"Covidius Albion, UK",None,None,2021-03-23 11:24:43
1374321205650554887,CarmenShier,RT @CarmenShier: Ontario spent $466M less on healthcare than planned ahead of COVID-19 pandemic https://t.co/QLkUofqr3X,,None,None,2021-03-23 11:24:43
1374321205801578497,brownberry1717,RT @BetoORourke: And then when the Biden administration offered to set up a system to provide COVID-19 testing &amp; quarantine for families re…,,None,None,2021-03-23 11:24:43
1374321206162292741,DrMChalder,A whole year has passed since COVID-19 kept us distanced. I’m grateful for everything the @NHS has offered and huge… https://t.co/3IZyAPc4yB,South West,None,None,2021-03-23 11:24:43
1374321206694846476,clarasawali,RT @moderna_tx: We just announced that the Philippines has secured 7 million additional doses of our COVID-19 vaccine through a new supply…,,None,None,2021-03-23 11:24:43
1374321208133574661,ssholejay,"RT @BourgeoisWells: FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",Md,None,None,2021-03-23 11:24:44
1374321208116670473,jaymichgarcia,RT @varsitarianust: A Dominican priest-scientist is planning to test his Covid-19 vaccine—the first to be developed by a Filipino—at the Un…,"Tuguegarao City, Philippines",None,None,2021-03-23 11:24:44
1374321209438044163,Phuti_Manamela6,"RT @ewnupdates: The Western Cape Health Department plans to vaccinate between 20,000 and 30,000 people a day when phase two of the COVID-19…","Polokwane,South Africa 🎌",None,None,2021-03-23 11:24:44
1374321210138447876,alexandradeste3,Was REALLY hitting it off with this mans on hinge until he told me the reason he hasn’t contracted covid-19 was bec… https://t.co/leSyk43wZC,,None,None,2021-03-23 11:24:44
1374321210696290306,kjonesy10,"RT @louisaclary: You hear Brazil is getting hit hard by a Covid-19 variant? Not in Maxaranguape, in northeast Brazil that adopted #Ivermect…","Liverpool, England",None,None,2021-03-23 11:24:44
1374321211992342533,alva_uk,"RT @Nat_Mem_Arb: #OnThisDay last year, COVID-19 closed our doors and we want to reflect on the service of the nation's key workers, remembe…",Across the UK,None,None,2021-03-23 11:24:45
1374321218032082948,nicolealiasas,"RT @nad0227: News: duque blames improper wearing of face masks, face shields for Covid-19 surge.

In other news: https://t.co/K1dj8Z7q8x",,None,None,2021-03-23 11:24:46
1374321218141229056,MHassankulmiye,"RT @jumaf3: Private hospitals are charging Ksh 600,000 as deposit for an ICU bed. And there is no guarantee. KNH is charging Ksh 200,000, s…",EAST AFRICA,None,None,2021-03-23 11:24:46
1374321218908721153,myahmctear,RT @GSKUS: Antibody therapies may help unlock the power of the immune system to fight COVID-19,United States,None,None,2021-03-23 11:24:46
1374321220825587715,Yvette45184087,"RT @DrEricDing: 20) ““There is probably no limit to how much more we can keep going or how much time we can keep spending,” McLellan says,…",,None,None,2021-03-23 11:24:47
1374321222025060355,NaveenJ55301028,RT @ABecenti: Navajo Nation has reported 0 new COVID-19 cases for the first time in six months!!!!!,NYC,None,None,2021-03-23 11:24:47
1374321226399760386,socialHATchat,"RT @noorchashm: My interview with @TuckerCarlson Tonight, about #ScreenB4Vaccine.

Indiscriminate COVID-19 vaccination of the recently infe…",South Africa,None,None,2021-03-23 11:24:48
1374321226991202307,HealthInsider,"RT @drcatherinesb: Highly unusual statement from NIAID late last night- expert panel that monitors trial safety was ""concerned"" that info r…",,None,None,2021-03-23 11:24:48
1374321228924780544,JuliusNyuguto,RT @DrAlfredMutua: Some people are full of envy and hate. Machakos has 575 Covid-19 isolation beds. We also have over 60 ICU beds with vent…,Nairobi/Mombasa.,None,None,2021-03-23 11:24:49
1374321229541351426,_atouchofJazz,"RT @BourgeoisWells: FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 11:24:49
1374321231105830913,AtulGroverMD,"""I fully acknowledge that we in the medical community and the healthcare system have not always treated everyone eq… https://t.co/4tdhFp3JSX","Here, Now",None,None,2021-03-23 11:24:49
1374321238517161984,suegcraig,"RT @CllrDineRomero: Today we mark a year since the start of the first lockdown and join the national minute’s silence at noon. 

It is hard…","Bath, England",None,None,2021-03-23 11:24:51
1374321238961717249,JankyGivenchy,dont do it ya lol,,None,None,2021-03-23 11:24:51
1374321243357392896,HeartHerts,"RT @oneymca: Covid-19 National Day of Reflection🕯

Matt, our Head of Chaplaincy, with a prayer of comfort and hope 🙏

#NationalDayofReflect…",Hertfordshire,None,None,2021-03-23 11:24:52
1374321246154940417,SciInsider,"RT @drcatherinesb: Highly unusual statement from NIAID late last night- expert panel that monitors trial safety was ""concerned"" that info r…",,None,None,2021-03-23 11:24:53
1374321246465368065,Brexit_News,RT @goddersbloom: That this can even be mooted is a national disgrace &amp; breach of international  law. https://t.co/p8G5c24p4s,"Yorkshire, UK",None,None,2021-03-23 11:24:53
1374321249271300097,Ailath98,RT @nayadontgiveaf: The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,,None,None,2021-03-23 11:24:54
1374321250005356547,TONE1923,RT @Masterofwhine: @allthecitizens @BylineTimes Are  there any Covid-19 contracts that DONT have links to the Conservatives??,"East Midlands, England",None,None,2021-03-23 11:24:54
1374321250865123332,mcqbert,RT @MZHemingway: Study: Majority Of Americans Grossly Overestimated COVID-19 Hospitalization Rates https://t.co/MGnDGbkLOc,,None,None,2021-03-23 11:24:54
1374321250995163143,MartinaLuther4,RT @UKCovid19Stats: The @OurWorldInData COVID-19 data explorer is an excellent resource if you would like to know what's going on further a…,Denmark,None,None,2021-03-23 11:24:54
1374321252022714376,shahsuneel,"RT @BSYBJP: Starting April 01st, anyone above 45 years can get the Covid-19 vaccine. I appeal to all eligible citizens to get vaccinated an…",DELHI NCR,None,None,2021-03-23 11:24:54
1374321251980881920,LisaKearnsNYC,COVID-19 Postage Stamps—Messages in a Message  cc @ABatemanHouse  https://t.co/7FjjvLkfwf via @JAMA_current part of @JAMANetwork,"New York, NY",None,None,2021-03-23 11:24:54
1374321252467417090,AAC0519,RT @JohnFeehery: Open the schools.  Five days a week. https://t.co/ipkD9NA6wJ,United States,None,None,2021-03-23 11:24:54
1374321254270918668,writer4people,@trendingwwwandw @quinones_sue @RobossieAuthor @RockaDesign @rockethulsey @Ropedeco1 @RussellsTranspo @sehoujou… https://t.co/gLhGyFC7hz,writer4peopleadvmuso@gmail.com,None,None,2021-03-23 11:24:55
1374321256380690432,LawrenceMavhair,RT @engadget: FDA clears first AI device to spot hidden signs of COVID-19 https://t.co/1Hkthwe66q https://t.co/8AWw1Ic347,"Masvingo, Zimbabwe",None,None,2021-03-23 11:24:55
1374321257634729987,the_lopetee,"-@FirstBankngr @FBN_help , I have made a complaint since Sunday, and you people have refused to answer me.

Why do… https://t.co/XG2NuzwQTw","Kano, Nigeria",None,None,2021-03-23 11:24:56
1374321257559248896,barrymaher7,"Adding the term 'she-session' to my lexicon after listing to this great podcast from two great female leaders.  

I… https://t.co/mb63Ogj1VY","Pretoria, South Africa",None,None,2021-03-23 11:24:56
1374321261178806275,christi93673854,RT @GeorgeFareed2: Dr McCullough talks with us about treatment for COVID-19 -he clearly explains SMDT (Sequenced Multi Drug Therapy) for C1…,USA,None,None,2021-03-23 11:24:56
1374321261942165511,abeerjp,"RT @OmanObserver: Oman sees surge in Covid-19 cases with 836 new infections 
@omanimoh @OmanVSCovid19 #Oman #OmanObserver
https://t.co/fCX5…",🐪 طوكيو 🐪,None,None,2021-03-23 11:24:57
1374321262399533067,DPatutie,RT @ABecenti: Navajo Nation has reported 0 new COVID-19 cases for the first time in six months!!!!!,,None,None,2021-03-23 11:24:57
1374321263343206400,rohit120h,"RT @Chellaney: If you do, you are a ""racist."" The emergence of multiple variants of the original virus only underscores the mounting costs…",,None,None,2021-03-23 11:24:57
1374321263691243527,GoEcomania,"RT @kewgardens: One year on from the UK's first lockdown, we've joined the Yellow Hearts to Remember campaign, supporting bereaved families…",,None,None,2021-03-23 11:24:57
1374321264651857922,vijayshelar,"RT @BSYBJP: Starting April 01st, anyone above 45 years can get the Covid-19 vaccine. I appeal to all eligible citizens to get vaccinated an…",,None,None,2021-03-23 11:24:57
1374321265444544512,MaryAnnWanguiKE,"RT @BravinYuri: 16 Kenyatta University students developed ventilators &amp; swabs to help the government combat covid-19 but upto date, they ar…","Athi River, Kenya",None,None,2021-03-23 11:24:57
1374321268045008897,lovetalien,RT @nayadontgiveaf: The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,,None,None,2021-03-23 11:24:58
1374321274885959681,USITA_forum,AstraZeneca questioned over data used in Covid-19 vaccine trial https://t.co/S9Bvbq6sJF,"Washington, DC",None,None,2021-03-23 11:25:00
1374321275997458436,handsomeboy_ke,"RT @BravinYuri: 16 Kenyatta University students developed ventilators &amp; swabs to help the government combat covid-19 but upto date, they ar…",127.0.0.1,None,None,2021-03-23 11:25:00
1374321276039409667,TwitchyTeam,NIAID releases late-night statement questioning if AstraZeneca used 'outdated information' in COVID-19 vaccine trial https://t.co/nHpOwHhHNH,,None,None,2021-03-23 11:25:00
1374321276341383169,biedexmarkets,"Sinovac COVID-19 vaccine appears safe, triggers antibodies in trial in children: researcher Reuters via… https://t.co/nAi6EkQJjJ","London, England",None,None,2021-03-23 11:25:00
1374321279013158917,dennis_1William,"RT @SkyNewsBreak: Official figures show the UK has recorded 5,342 new COVID-19 cases and a further 17 deaths in the latest 24-hour period…","California, USA",None,None,2021-03-23 11:25:01
1374321279386460168,AnneliesMesman,"RT @paimadhu: Terrible news ahead of #WorldTBDay2021 

1.4 million with tuberculosis, lost out on treatment during first year of COVID-19 h…","Amsterdam, The Netherlands",None,None,2021-03-23 11:25:01
1374321280686645256,AshaMonnae,"RT @BourgeoisWells: FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 11:25:01
1374321280829292546,Connecticut_WX,RT @kylenabecker: COVID-19 won't even be close to the deadliest pandemic in human history. But if will by far be the dumbest.,Southern New England,None,None,2021-03-23 11:25:01
1374321281642995719,Sandrachen1997,"RT @AllianceMilkTea: We should be dealing with the COVID-19 pandemic but no, dictators of the region saw the timing as an opportunity to se…",,None,None,2021-03-23 11:25:01
1374321281567428611,Iddybud,"RT @amyspitalnick: This country and our gun laws are so broken. 

“Steven McHugh [said] his son-in-law was third in line for a Covid-19 vac…",Upstate New York,None,None,2021-03-23 11:25:01
1374321282997702659,NottsLetsTalk,RT @NHSuk: There are lots of different ways to take care of your mental health whilst we continue to face the challenges of Covid-19. The E…,,None,None,2021-03-23 11:25:02
1374321285312962561,TEX1200,"RT @zero_to_here_oh: Apart from the pure evil involved in making the ‘vaccine’ mandatory, it doesn’t stop you getting the virus or infectin…",,None,None,2021-03-23 11:25:02
1374321285535309830,redcrew,"Only in the U.S. 

https://t.co/tdyrh9yata","metro Detroit, Michigan",None,None,2021-03-23 11:25:02
1374321288387366915,yagurlhennyy,"RT @BourgeoisWells: FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 11:25:03
1374321288718778371,j_stro15,"RT @BourgeoisWells: FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 11:25:03
1374321289171673088,Rajkumar1265,"RT @ArubaAPAC: With Network-as-a-Service, retailers can focus on customer outcomes instead of worrying about network infrastructure managem…","Firozabad , India",None,None,2021-03-23 11:25:03
1374321288861388807,isd624,#624Fact - March issue of district's School Nurse Newsletter covers COVID-19 basics and reminders including symptom… https://t.co/tQRGP7nhNb,"White Bear Lake, MN",None,None,2021-03-23 11:25:03
1374321289134026755,LBRUT,"We are all eager to go back to doing the things we love, that's why @NHS want to hear your thoughts on the COVID-19… https://t.co/rqtk9C9Kzq",Richmond upon Thames,None,None,2021-03-23 11:25:03
1374321290560036867,jimfitzpatrick,RT @AP: BREAKING: AstraZeneca says advanced trial data from a U.S. study on its COVID-19 vaccine shows it is 79% effective. https://t.co/rv…,IRELAND,None,None,2021-03-23 11:25:03
1374321290992029700,PeopleDevelop1,"Human Resources is always vital, but the importance of human resource management at this time can’t be overstated.… https://t.co/8LM2W0cdYV",United Kingdom,None,None,2021-03-23 11:25:04
1374321293135339524,WLV_DoctoralCol,RT @wlvunichaplains: An interesting free event tomorrow asking what COVID-19 has taught us about vulnerability. @bishopSarahM is an Honorar…,The Research Hub,None,None,2021-03-23 11:25:04
1374321294104141825,kesobells,"Thanks be to God!

#ADDBiblicalAnswers 
#TruthsFromTheBible 
#GlobalPrayerForHumanity",,None,None,2021-03-23 11:25:04
1374321294301347840,Nomadvisas,"Beshear: Masking up, canceling travel to COVID-19 hotspots will stabilize Ky. case numbers - WCPO #wanderlust… https://t.co/ErjROtWMlc",,None,None,2021-03-23 11:25:04
1374321299347083264,Aziiiz26983439,"RT @NHSuk: If you have a health condition and you're eligible for the Covid-19 vaccine, you can now book online or by calling 119",,None,None,2021-03-23 11:25:06
